Activity Name,Description,Why It Matters,How To Do It,Developmental Area,Duration (min),Materials Required,Age Band,Source
Smooth? Texture Game,"A calm, close activity for building visual attention and early recognition.","Your baby's brain is building its very first expectations about the world, mostly through what they see and hear repeatedly. Repetition matters far more than variety now, so the same thing tomorrow is exactly right.",Give two very different textures simultaneously: smooth and rough. Let baby feel both and switch between them. Comparison is the lesson.,Cognitive,5–8 min,Two textured household items,4–6 months,Harvard Center on the Developing Child; Zero to Three; IAP
What's Coming Game,A simple everyday moment that supports visual attention and early recognition.,"Newborn vision and attention are still developing, and this gives them exactly the kind of input that helps them along. At this age your only job is to offer it warmly and let your baby respond however they do; there is nothing to achieve and nothing to get right.","Do an action three times that baby enjoys: a raspberry, a bounce. On the fourth, pause before. Watch for anticipatory smile.",Cognitive,5–10 min,None,4–6 months,Harvard Center on the Developing Child; Zero to Three; IAP
Social Smile Response,A gentle activity that supports early social connection.,"Your baby cannot calm themselves yet, so being soothed by you is how their nervous system learns what calm feels like. Keep it short and stop as soon as your baby looks away or fusses. Their attention span is measured in moments, and that is normal.","Every time baby smiles, reflect it back immediately with warmth. Teaching: my positive emotion has social power. This builds communication.",Social-Emotional,Ongoing,None,4–6 months,Harvard Center on the Developing Child (Attachment); Zero to Three; UNICEF Responsive Caregiving; IAP
Stranger Presence Practice,"A calm, close activity for building comfort and co-regulation.","Your baby cannot calm themselves yet, so being soothed by you is how their nervous system learns what calm feels like. At this age your only job is to offer it warmly and let your baby respond however they do; there is nothing to achieve and nothing to get right.","When a new person is present, hold baby and engage the person warmly yourself. Baby reads your calm as: this person is safe.",Social-Emotional,5–10 min,None,4–6 months,Harvard Center on the Developing Child (Attachment); Zero to Three; UNICEF Responsive Caregiving; IAP
Listening No,A gentle activity that supports emotional tone recognition.,"Every time you respond to your baby, you are teaching them that the world is reliable, which is the foundation of secure attachment. Repetition matters far more than variety now, so the same thing tomorrow is exactly right.","When baby shows displeasure at a game stopping, restart it. Teaching: expressing a feeling produces a response. Foundation of communication.",Social-Emotional,3–5 min,None,4–6 months,Harvard Center on the Developing Child (Attachment); Zero to Three; UNICEF Responsive Caregiving; IAP
Practising Goodbye,"A calm, close activity for building trust through responsive care.","This is the beginning of the relationship, and at this age closeness and responsiveness are the whole task. Repetition matters far more than variety now, so the same thing tomorrow is exactly right.",Step out of baby's visual field for 30 seconds. Return before they cry. Gradually extend. Teaching: the person comes back.,Social-Emotional,1–3 min,None,4–6 months,Harvard Center on the Developing Child (Attachment); Zero to Three; UNICEF Responsive Caregiving; IAP
Naming Feelings,A simple everyday moment that supports early social connection.,"Your baby cannot calm themselves yet, so being soothed by you is how their nervous system learns what calm feels like. Repetition matters far more than variety now, so the same thing tomorrow is exactly right.",Name emotions you see: 'You love that sound! Your face lit up.' Accurate emotional labelling builds the brain's emotional vocabulary.,Social-Emotional,Ongoing,None,4–6 months,Harvard Center on the Developing Child (Attachment); Zero to Three; UNICEF Responsive Caregiving; IAP
Look This Together,A simple everyday moment that supports comfort and co-regulation.,"Every time you respond to your baby, you are teaching them that the world is reliable, which is the foundation of secure attachment. Repetition matters far more than variety now, so the same thing tomorrow is exactly right.","Hold up an interesting object and look between it and baby's face: object, baby, object. This is joint attention, a language precursor.",Social-Emotional,5–8 min,Any interesting object,4–6 months,Harvard Center on the Developing Child (Attachment); Zero to Three; UNICEF Responsive Caregiving; IAP
Water Kicking,A simple everyday moment that supports temperature and water sensation.,"Calm, predictable sensory input helps a young baby settle and regulate. Repetition matters far more than variety now, so the same thing tomorrow is exactly right.","Staying within arm's reach throughout, let baby kick freely in the bath for 5 extra minutes. Water resistance builds leg strength while providing rich sensory feedback. Never leave baby unattended in water, even briefly.",Sensory,10–15 min,Water,4–6 months,AOTA Sensory Integration; AAP Developmental Milestones; IAP
Sensory Walk,A gentle activity that supports auditory processing.,"Calm, predictable sensory input helps a young baby settle and regulate. At this age your only job is to offer it warmly and let your baby respond however they do; there is nothing to achieve and nothing to get right.","Walk outside slowly, narrating each sensory experience: 'That's wind on your face. Listen: that's a crow.' Multi-sensory saturation.",Sensory,10–15 min,None,4–6 months,AOTA Sensory Integration; AAP Developmental Milestones; IAP
